Latitude (decimal degrees): 1.352
Longitude (decimal degrees): 103.820
Elevation (m): 44.0
Irradiance Time Offset (h): 0.5
month,year
1,2006
2,2023
3,2017
4,2014
5,2013
6,2014
7,2013
8,2007
9,2013
10,2009
11,2009
12,2023
time(UTC),T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20060101:0000,26.08,85.23,69.85,95.05,51.1,27.38,3.5,336.0,101160.0
20060101:0100,26.08,84.77,199.05,225.55,103.8,29.26,3.43,341.0,101220.0
20060101:0200,26.07,84.3,443.1,402.54,194.35,31.14,3.35,347.0,101300.0
20060101:0300,26.07,83.84,382.05,154.24,263.15,33.02,3.27,355.0,101300.0
20060101:0400,26.07,83.38,670.55,478.69,253.8,34.9,3.2,352.0,101220.0
20060101:0500,26.06,82.92,644.15,440.86,242.8,36.78,3.12,347.0,101130.0
20060101:0600,26.06,82.45,651.4,446.87,254.8,38.66,3.04,350.0,101060.0
20060101:0700,26.06,81.99,493.55,276.23,271.6,40.54,2.97,350.0,100980.0
20060101:0800,26.44,81.85,327.0,226.16,176.8,-0.55,1.86,349.0,100880.0
20060101:0900,26.19,81.85,181.55,167.48,101.35,-2.9,1.45,13.0,100890.0
20060101:1000,26.08,84.5,74.6,143.86,37.15,-3.65,1.72,36.0,100890.0
20060101:1100,25.35,87.3,0.3,0.0,0.3,-3.65,2.76,9.0,101000.0
20060101:1200,25.69,84.5,0.0,-0.0,0.0,0.95,2.21,341.0,101070.0
20060101:1300,25.8,84.5,0.0,-0.0,0.0,1.5,2.62,345.0,101110.0
20060101:1400,25.71,84.5,0.0,-0.0,0.0,0.55,3.66,347.0,101150.0
20060101:1500,25.42,87.3,0.0,-0.0,0.0,4.6,4.0,352.0,101140.0
20060101:1600,25.25,87.3,0.0,-0.0,0.0,-4.05,4.28,355.0,101140.0
20060101:1700,25.13,90.15,0.0,-0.0,0.0,-0.75,4.55,356.0,101100.0
20060101:1800,24.97,90.15,0.0,-0.0,0.0,4.25,4.83,353.0,101050.0
20060101:1900,24.84,90.15,0.0,-0.0,0.0,-6.0,4.76,354.0,100990.0
20060101:2000,24.79,90.15,0.0,-0.0,0.0,-0.95,4.97,352.0,100940.0
20060101:2100,24.71,90.15,0.0,-0.0,0.0,-0.55,5.31,354.0,100950.0
20060101:2200,24.85,90.15,0.0,-0.0,0.0,2.9,5.59,352.0,100960.0
20060101:2300,24.86,90.15,0.0,-0.0,0.0,0.35,5.03,343.0,101000.0
20060102:0000,24.87,90.15,166.5,313.03,105.25,3.45,4.9,345.0,101070.0
20060102:0100,25.1,90.15,334.4,414.93,159.7,420.85,4.83,347.0,101090.0
20060102:0200,25.72,84.5,453.2,456.92,171.25,-2.1,5.31,350.0,101130.0
20060102:0300,25.74,84.5,451.8,243.95,263.85,2.9,5.72,355.0,101140.0
20060102:0400,25.69,84.5,408.4,164.64,265.05,9.45,5.52,358.0,101070.0
20060102:0500,25.45,87.3,400.8,170.65,245.35,-5.95,4.9,353.0,101020.0
20060102:0600,25.75,84.5,551.75,323.58,264.25,2.7,3.1,351.0,100930.0
20060102:0700,26.0,84.5,428.75,239.22,236.2,-0.35,2.41,357.0,100850.0
20060102:0800,25.69,84.5,314.25,172.72,199.25,-3.45,2.48,352.0,100810.0
20060102:0900,25.36,87.3,139.75,77.49,102.5,5.2,3.52,331.0,100780.0
20060102:1000,25.36,87.3,45.95,36.04,36.5,0.0,3.03,336.0,100770.0
20060102:1100,25.18,87.3,0.2,0.0,0.2,-4.45,4.0,345.0,100850.0
20060102:1200,25.22,87.3,0.0,-0.0,0.0,-3.85,3.24,340.0,100920.0
20060102:1300,25.26,87.3,0.0,-0.0,0.0,-0.15,3.38,342.0,100960.0
20060102:1400,25.25,87.3,0.0,-0.0,0.0,-4.05,3.86,343.0,101020.0
20060102:1500,25.21,87.3,0.0,-0.0,0.0,7.7,4.34,337.0,101040.0
20060102:1600,25.16,87.3,0.0,-0.0,0.0,-2.1,4.62,334.0,101020.0
20060102:1700,25.09,90.15,0.0,-0.0,0.0,-2.3,5.03,337.0,101000.0
20060102:1800,25.02,90.15,0.0,-0.0,0.0,-3.25,5.17,341.0,100980.0
20060102:1900,24.89,90.15,0.0,-0.0,0.0,-4.05,5.24,348.0,100930.0
20060102:2000,24.83,90.15,0.0,-0.0,0.0,5.4,5.24,347.0,100880.0
