sample_id,delta_T_trend_C,COP_cool,margin_year_kwh,pass_flag
1,1.6547912097111928,2.881156434865495,382913.4921836492,1
2,1.5877756879504104,3.251065137309333,389391.9860239607,1
3,1.6717195839822765,3.16877642125891,387605.15931862214,1
4,1.6394736058118728,2.7663530465976667,380836.07201214955,1
5,1.51883546957753,3.2982207947025444,390513.87706796447,1
6,1.6951244703273511,3.2275200145846474,388325.3917104448,1
7,1.6522279403980706,2.8703450627184237,382733.48252514703,1
8,1.6572128610553907,3.202137947796563,388207.2897203616,1
9,1.5256227265351092,2.76385171912283,381687.08818513935,1
10,1.5900771875791133,3.2994628382845432,390058.77850912,1
11,1.5741596048465163,3.0994108416639223,387212.91835184,1
12,1.6853529977697204,3.0900750093352785,386278.9041397651,1
13,1.6287730240161329,2.75426443619048,380679.4029603528,1
14,1.6645523226541659,3.2382200393379756,388689.02860491973,1
15,1.5886828397654662,2.7173997019226817,380253.05095061864,1
16,1.5454477443569554,2.8444968348246884,383071.39683989825,1
17,1.610916957403167,2.785813125099981,381444.8236784097,1
18,1.512763451220835,3.1660607644153314,388661.69885457895,1
19,1.6655262343985164,2.818922536327739,381660.63977724075,1
20,1.626332879824413,3.2463829362785317,389065.1804203505,1
21,1.6516175480170747,3.0937614235964945,386576.49060916674,1
22,1.5709051936259737,2.7216976262968178,380483.7544801232,1
23,1.6941396048789805,2.7032579004772206,379108.84497375146,1
24,1.6786242242644396,2.7309947502086396,379809.77587664145,1
25,1.6556766994147523,3.0635551065886366,386061.289768879,1
26,1.5389277415703935,3.1808890865156494,388701.99050409906,1
27,1.5933442007454068,2.843131692376433,382677.6251138514,1
28,1.5087607531574458,3.209645305753844,389330.2919290996,1
29,1.5308578984135095,2.7343391640919563,381060.19351660734,1
30,1.6366097906484909,3.180578312185006,388025.73747724446,1
31,1.6489524311815633,3.2566772581033687,389061.29654741293,1
32,1.693501946486842,3.1632650394626287,387370.4388053667,1
33,1.5651650716276304,3.1188724703871826,387579.7272425594,1
34,1.5740919412069738,3.20278813119323,388784.5391769528,1
35,1.5939111622551616,2.72409077972824,380347.73564030015,1
36,1.5378942718168571,2.8210692664314334,382691.31708531996,1
37,1.5259843010670944,2.774954207583386,381901.10206406517,1
38,1.5951409852451868,3.002718594115792,385492.63374918484,1
39,1.545381869810177,3.147112876997307,388150.7032090106,1
40,1.633962798936502,3.078007106745839,386449.5256902579,1
41,1.587430383774466,3.2106786598571615,388809.45087930164,1
42,1.6665356392115673,2.7931277954646547,381151.92570218985,1
43,1.6400530204004498,3.140772655161097,387395.1398610466,1
44,1.5624733282764083,2.8158248945213424,382401.35139017174,1
45,1.6664519602790402,2.8624552507906804,382478.2942858486,1
46,1.6609528714993602,3.1259428183687827,387018.8577368125,1
47,1.5774956758060348,3.288122870939209,389984.3979812239,1
48,1.5576656207860489,3.066926163586242,386814.9453045753,1
49,1.6364991007949952,2.7327001889947775,380181.8963049829,1
50,1.527950496721862,3.0697853819565197,387072.33284924715,1
51,1.5399816404950217,2.7254103309481006,380807.35841712187,1
52,1.5014724539502011,3.2304874268200905,389680.01551770046,1
53,1.6573848755004277,3.125746971060373,387040.75931357907,1
54,1.6329701713184064,2.8038767078535023,381623.5693922856,1
55,1.641033075725267,2.755032603494519,380597.47671190364,1
56,1.6561458062043934,2.8101199373281918,381563.77083834464,1
57,1.591783155107668,3.2880163077325157,389887.88055845356,1
58,1.6137482391905786,2.975136385475094,384888.6290177199,1
59,1.5279593996255314,3.170448569004845,388622.2497267072,1
60,1.5229060147071947,3.0818450052646664,387299.15530764224,1
61,1.6336805923580944,3.0434478899751825,385890.144651902,1
62,1.5942192412286265,2.78707815279903,381600.5580970646,1
63,1.6130472212962377,3.267614672134857,389458.3475571297,1
64,1.6529997714832052,2.8808055795088308,382920.63973141625,1
65,1.6269436640001183,3.0468103294845257,385993.6803890725,1
66,1.610715880131599,3.11986556675344,387275.8088963162,1
67,1.6118414321490826,3.089539893147186,386790.6659148511,1
68,1.5607900196125224,3.2643566458173114,389762.09724589693,1
69,1.5061635669135878,2.789063393952035,382329.62213391054,1
70,1.5873434778464723,3.0050116430681655,385587.8381444785,1
71,1.5429169345639058,2.94242063444446,384848.0041496808,1
72,1.5817057287449272,2.984501237689571,385283.4589080322,1
73,1.6706806146536333,2.771530515718647,380692.67099983554,1
74,1.5467878971730682,2.780456765923659,381844.3311617645,1
75,1.5116605483378132,2.8668453274687544,383740.86388498836,1
76,1.5562767784043994,2.882822762256499,383691.44976133667,1
77,1.5587187515533367,2.9567419282088103,384978.3592886502,1
78,1.632383302945379,3.0665925282219773,386276.761381468,1
79,1.6114064304682556,3.080777470450958,386654.1047601057,1
80,1.6567796418212826,2.9470865379513422,384083.88556368137,1
81,1.6328627080654774,2.9452698656572185,384229.52086211304,1
82,1.581277372288014,2.830577116018177,382534.8407238306,1
83,1.6628040769332069,3.052983749045405,385837.69632035936,1
84,1.5333945839815408,2.890224546790343,383998.2593632608,1
85,1.504542414626772,2.7216359005664184,381015.7135133438,1
86,1.5180095721551283,2.9510400264941166,385181.65415481495,1
87,1.64447187011929,2.9844796050541023,384823.15940329095,1
88,1.5923754460502775,2.835355720922527,382539.16255949566,1
89,1.5322543558067203,3.04347475987327,386619.3853399942,1
90,1.6002089550206726,3.0394631402591528,386065.4286774479,1
91,1.5304624205426336,3.121201308666223,387858.9107122445,1
92,1.6392640750155472,3.088769089320726,386584.25249073806,1
93,1.589231255114806,3.0914598339126194,386981.1064291281,1
94,1.5762042452192966,2.889728491094426,383665.38576845615,1
95,1.5603024178295752,3.1724593331915725,388429.2659906785,1
96,1.6260565186237776,3.029486630159808,385714.7602598615,1
