datetime,DNI,DHI,GHI,T_out
2006-01-01 00:00:00+00:00,95.06,51.1,69.85,27.58
2006-01-01 01:00:00+00:00,225.55,103.8,199.05,27.58
2006-01-01 02:00:00+00:00,402.54,194.35,443.1,27.57
2006-01-01 03:00:00+00:00,154.24,263.15,382.05,27.57
2006-01-01 04:00:00+00:00,478.69,253.8,670.55,27.57
2006-01-01 05:00:00+00:00,440.86,242.8,644.15,27.56
2006-01-01 06:00:00+00:00,446.87,254.8,651.4,27.56
2006-01-01 07:00:00+00:00,276.23,271.6,493.55,27.56
2006-01-01 08:00:00+00:00,226.16,176.8,327.0,27.94
2006-01-01 09:00:00+00:00,167.48,101.35,181.55,27.69
2006-01-01 10:00:00+00:00,143.86,37.15,74.6,27.58
2006-01-01 11:00:00+00:00,0.0,0.3,0.3,26.85
2006-01-01 12:00:00+00:00,0.0,0.0,0.0,27.19
2006-01-01 13:00:00+00:00,0.0,0.0,0.0,27.3
2006-01-01 14:00:00+00:00,0.0,0.0,0.0,27.21
2006-01-01 15:00:00+00:00,0.0,0.0,0.0,26.92
2006-01-01 16:00:00+00:00,0.0,0.0,0.0,26.75
2006-01-01 17:00:00+00:00,0.0,0.0,0.0,26.63
2006-01-01 18:00:00+00:00,0.0,0.0,0.0,26.47
2006-01-01 19:00:00+00:00,0.0,0.0,0.0,26.34
2006-01-01 20:00:00+00:00,0.0,0.0,0.0,26.29
2006-01-01 21:00:00+00:00,0.0,0.0,0.0,26.21
2006-01-01 22:00:00+00:00,0.0,0.0,0.0,26.35
2006-01-01 23:00:00+00:00,0.0,0.0,0.0,26.36
2006-01-02 00:00:00+00:00,313.03,105.25,166.5,26.37
2006-01-02 01:00:00+00:00,414.94,159.7,334.4,26.6
2006-01-02 02:00:00+00:00,456.92,171.25,453.2,27.22
2006-01-02 03:00:00+00:00,243.95,263.85,451.8,27.24
2006-01-02 04:00:00+00:00,164.64,265.05,408.4,27.19
2006-01-02 05:00:00+00:00,170.65,245.35,400.8,26.95
2006-01-02 06:00:00+00:00,323.58,264.25,551.75,27.25
2006-01-02 07:00:00+00:00,239.22,236.2,428.75,27.5
2006-01-02 08:00:00+00:00,172.72,199.25,314.25,27.19
2006-01-02 09:00:00+00:00,77.49,102.5,139.75,26.86
2006-01-02 10:00:00+00:00,36.04,36.5,45.95,26.86
2006-01-02 11:00:00+00:00,0.0,0.2,0.2,26.68
2006-01-02 12:00:00+00:00,0.0,0.0,0.0,26.72
2006-01-02 13:00:00+00:00,0.0,0.0,0.0,26.76
2006-01-02 14:00:00+00:00,0.0,0.0,0.0,26.75
2006-01-02 15:00:00+00:00,0.0,0.0,0.0,26.71
2006-01-02 16:00:00+00:00,0.0,0.0,0.0,26.66
2006-01-02 17:00:00+00:00,0.0,0.0,0.0,26.59
2006-01-02 18:00:00+00:00,0.0,0.0,0.0,26.52
2006-01-02 19:00:00+00:00,0.0,0.0,0.0,26.39
2006-01-02 20:00:00+00:00,0.0,0.0,0.0,26.33
2006-01-02 21:00:00+00:00,0.0,0.0,0.0,26.28
2006-01-02 22:00:00+00:00,0.0,0.0,0.0,26.43
2006-01-02 23:00:00+00:00,0.0,0.0,0.0,26.39
2006-01-03 00:00:00+00:00,235.69,125.2,170.95,26.38
2006-01-03 01:00:00+00:00,300.99,212.25,338.6,26.55
2006-01-03 02:00:00+00:00,387.52,284.05,522.85,26.97
2006-01-03 03:00:00+00:00,490.61,295.45,673.25,27.67
2006-01-03 04:00:00+00:00,603.83,264.8,790.6,28.21
2006-01-03 05:00:00+00:00,454.01,315.1,728.95,28.57
2006-01-03 06:00:00+00:00,548.65,242.35,730.4,28.86
2006-01-03 07:00:00+00:00,472.33,173.45,554.3,29.1
