x,E_heat_kWh,E_cool_kWh,dN_m,dS_m,etaE_rad,etaW_rad
"(0.12484252158567744, 1.1358627823035556, 1.5648627316628014, 0.1974798419028332)",5815.612832496933,231458.42316715157,0.12484252158567744,1.1358627823035556,1.5648627316628014,0.1974798419028332
"(0.0684116130890925, 1.5954715673338027, 0.12994165631603516, 0.46295658004737394)",6006.518250127155,227633.16271819398,0.0684116130890925,1.5954715673338027,0.12994165631603516,0.46295658004737394
"(0.0634440490093201, 2.6080854806355713, 1.212696413835562, 0.14126291751351674)",5816.3553962696715,230997.53818794907,0.0634440490093201,2.6080854806355713,1.212696413835562,0.14126291751351674
"(0.7481627274966355, 2.1113330836206736, 0.2907430694063352, 0.22735961267411553)",7951.620340201721,213775.28500151774,0.7481627274966355,2.1113330836206736,0.2907430694063352,0.22735961267411553
"(0.8116048227305271, 0.980695055630968, 0.27467648712517817, 0.1758632675092261)",8162.50410444343,213138.50193854744,0.8116048227305271,0.980695055630968,0.27467648712517817,0.1758632675092261
"(2.3438821062945476, 2.259219820861529, 0.12855149844634844, 0.1035447542245661)",14150.654788718883,205312.53569170475,2.3438821062945476,2.259219820861529,0.12855149844634844,0.1035447542245661
"(0.1081795028320911, 2.4471919066531704, 1.3707420614353147, 1.5318008011547748)",5514.279958394616,238592.67604587233,0.1081795028320911,2.4471919066531704,1.3707420614353147,1.5318008011547748
"(0.9486424554721293, 2.769908070773636, 0.25759994341440673, 0.335883054210118)",8632.82910198386,212527.48369845632,0.9486424554721293,2.769908070773636,0.25759994341440673,0.335883054210118
"(0.02194336887904691, 0.8861723841295519, 0.41066949609510806, 1.5692916219659956)",5550.708528894632,237744.42383572282,0.02194336887904691,0.8861723841295519,0.41066949609510806,1.5692916219659956
"(0.013500374818977368, 2.1882313787979126, 1.4500424307437407, 0.20583377622354082)",5606.9988475543305,234172.21974840458,0.013500374818977368,2.1882313787979126,1.4500424307437407,0.20583377622354082
"(0.4031007399391845, 2.236943973713573, 0.21400096116435557, 0.15301218287639642)",6889.675887688543,217218.00947738462,0.4031007399391845,2.236943973713573,0.21400096116435557,0.15301218287639642
"(0.003699187535724402, 2.294436001833386, 0.5203096747903057, 0.11243843306131643)",5858.171552514312,229280.07985253798,0.003699187535724402,2.294436001833386,0.5203096747903057,0.11243843306131643
"(1.4685060195216244, 2.348284044168307, 0.15355496254549583, 0.2446621033564688)",10718.021485369305,208146.17661948176,1.4685060195216244,2.348284044168307,0.15355496254549583,0.2446621033564688
"(1.1371580851119156, 2.243369169439994, 0.1341928469789986, 0.41608188194464324)",9354.04401621044,210926.8415096134,1.1371580851119156,2.243369169439994,0.1341928469789986,0.41608188194464324
"(0.1503200690908013, 1.6466627670197012, 0.37878018087574317, 0.18017896796311206)",6204.284922688609,224960.19766186105,0.1503200690908013,1.6466627670197012,0.37878018087574317,0.18017896796311206
"(1.685456790188998, 2.3697179452067627, 0.11096095419299046, 0.10140434013251638)",11702.867802327259,205385.3332099035,1.685456790188998,2.3697179452067627,0.11096095419299046,0.10140434013251638
"(0.33553440714203153, 0.9971314051084939, 0.5510457446130751, 0.10996895111991829)",6686.855598217426,221519.84011186805,0.33553440714203153,0.9971314051084939,0.5510457446130751,0.10996895111991829
"(1.3836266575127214, 2.529174722897254, 0.18142633072148756, 0.2998750033887465)",10354.461094020247,209221.51327041828,1.3836266575127214,2.529174722897254,0.18142633072148756,0.2998750033887465
"(0.2782682322734843, 1.8124026156512136, 0.587764559128826, 0.1320530233373643)",6526.767733021418,222646.58197155406,0.2782682322734843,1.8124026156512136,0.587764559128826,0.1320530233373643
"(1.4070152370380167, 2.2384006671879284, 0.31047276321449024, 0.12873845831517033)",10452.838971436282,208520.17214374657,1.4070152370380167,2.2384006671879284,0.31047276321449024,0.12873845831517033
"(0.32597130978678723, 0.9669591544302656, 0.5792068367609684, 0.11281060507029853)",6659.369653972218,221993.721453142,0.32597130978678723,0.9669591544302656,0.5792068367609684,0.11281060507029853
"(0.586487482189762, 1.9281891923732863, 0.1866943824732429, 0.17193253242298945)",7440.3948343847205,214250.4233662128,0.586487482189762,1.9281891923732863,0.1866943824732429,0.17193253242298945
"(0.21391360255453618, 2.3700893074917477, 0.7075399734606223, 0.10567990704231106)",6357.598645960826,224363.9318450238,0.21391360255453618,2.3700893074917477,0.7075399734606223,0.10567990704231106
"(0.0017043877768333493, 2.0567766973137314, 1.3847676362321129, 0.48328191670237053)",5601.631561170116,237176.61225854166,0.0017043877768333493,2.0567766973137314,1.3847676362321129,0.48328191670237053
"(0.03305000215268539, 1.533917860238085, 1.5129234146181234, 1.5475950391468596)",5293.307238060487,241575.14563997567,0.03305000215268539,1.533917860238085,1.5129234146181234,1.5475950391468596
"(0.1378897480204202, 1.6801724287086914, 0.3488714145685925, 0.3848440631355279)",6171.091882322469,227188.35952913266,0.1378897480204202,1.6801724287086914,0.3488714145685925,0.3848440631355279
"(0.05531340862558143, 0.41655416025248926, 1.3898557846868447, 0.10698477109484639)",5723.578766465413,233573.03198608875,0.05531340862558143,0.41655416025248926,1.3898557846868447,0.10698477109484639
"(0.23446841965616483, 2.8407486852719415, 0.21066713642908227, 0.47683647351006775)",6413.947792265208,223822.78857610267,0.23446841965616483,2.8407486852719415,0.21066713642908227,0.47683647351006775
