datetime,DNI,DHI,GHI,T_out
2014-01-01 00:00:00+00:00,-0.0,0.0,0.0,2.39
2014-01-01 01:00:00+00:00,-0.0,0.0,0.0,2.83
2014-01-01 02:00:00+00:00,-0.0,0.0,0.0,3.27
2014-01-01 03:00:00+00:00,-0.0,0.0,0.0,3.7
2014-01-01 04:00:00+00:00,-0.0,0.0,0.0,4.14
2014-01-01 05:00:00+00:00,-0.0,0.0,0.0,4.58
2014-01-01 06:00:00+00:00,-0.0,0.0,0.0,5.02
2014-01-01 07:00:00+00:00,-0.0,0.0,0.0,5.46
2014-01-01 08:00:00+00:00,0.0,7.0,7.0,4.14
2014-01-01 09:00:00+00:00,0.0,27.0,27.0,4.05
2014-01-01 10:00:00+00:00,0.0,20.0,20.0,3.57
2014-01-01 11:00:00+00:00,0.0,7.0,7.0,3.29
2014-01-01 12:00:00+00:00,0.0,4.0,4.0,2.94
2014-01-01 13:00:00+00:00,0.0,0.0,0.0,2.59
2014-01-01 14:00:00+00:00,-0.0,0.0,0.0,2.0
2014-01-01 15:00:00+00:00,-0.0,0.0,0.0,1.66
2014-01-01 16:00:00+00:00,-0.0,0.0,0.0,1.43
2014-01-01 17:00:00+00:00,-0.0,0.0,0.0,1.15
2014-01-01 18:00:00+00:00,-0.0,0.0,0.0,1.14
2014-01-01 19:00:00+00:00,-0.0,0.0,0.0,1.2
2014-01-01 20:00:00+00:00,-0.0,0.0,0.0,0.97
2014-01-01 21:00:00+00:00,-0.0,0.0,0.0,0.93
2014-01-01 22:00:00+00:00,-0.0,0.0,0.0,0.92
2014-01-01 23:00:00+00:00,-0.0,0.0,0.0,0.81
2014-01-02 00:00:00+00:00,-0.0,0.0,0.0,0.64
2014-01-02 01:00:00+00:00,-0.0,0.0,0.0,0.57
2014-01-02 02:00:00+00:00,-0.0,0.0,0.0,0.49
2014-01-02 03:00:00+00:00,-0.0,0.0,0.0,0.35
2014-01-02 04:00:00+00:00,-0.0,0.0,0.0,0.26
2014-01-02 05:00:00+00:00,-0.0,0.0,0.0,0.36
2014-01-02 06:00:00+00:00,-0.0,0.0,0.0,0.36
2014-01-02 07:00:00+00:00,-0.0,0.0,0.0,0.41
2014-01-02 08:00:00+00:00,0.0,9.0,9.0,0.44
2014-01-02 09:00:00+00:00,20.54,32.0,34.0,0.47
2014-01-02 10:00:00+00:00,0.0,10.0,10.0,0.27
2014-01-02 11:00:00+00:00,0.0,12.0,12.0,0.17
2014-01-02 12:00:00+00:00,0.0,4.0,4.0,0.03
2014-01-02 13:00:00+00:00,0.0,0.0,0.0,-0.12
2014-01-02 14:00:00+00:00,-0.0,0.0,0.0,-0.32
2014-01-02 15:00:00+00:00,-0.0,0.0,0.0,-0.3
2014-01-02 16:00:00+00:00,-0.0,0.0,0.0,-0.19
2014-01-02 17:00:00+00:00,-0.0,0.0,0.0,-0.05
2014-01-02 18:00:00+00:00,-0.0,0.0,0.0,0.1
2014-01-02 19:00:00+00:00,-0.0,0.0,0.0,0.23
2014-01-02 20:00:00+00:00,-0.0,0.0,0.0,0.28
2014-01-02 21:00:00+00:00,-0.0,0.0,0.0,0.36
2014-01-02 22:00:00+00:00,-0.0,0.0,0.0,0.32
2014-01-02 23:00:00+00:00,-0.0,0.0,0.0,0.37
2014-01-03 00:00:00+00:00,-0.0,0.0,0.0,0.37
2014-01-03 01:00:00+00:00,-0.0,0.0,0.0,0.45
2014-01-03 02:00:00+00:00,-0.0,0.0,0.0,0.49
