datetime,DNI,DHI,GHI,T_out
2006-01-01 08:30:00+08:00,95.05,51.1,69.85,26.08
2006-01-01 09:30:00+08:00,225.55,103.8,199.05,26.08
2006-01-01 10:30:00+08:00,402.54,194.35,443.1,26.07
2006-01-01 11:30:00+08:00,154.24,263.15,382.05,26.07
2006-01-01 12:30:00+08:00,478.69,253.8,670.55,26.07
2006-01-01 13:30:00+08:00,440.86,242.8,644.15,26.06
2006-01-01 14:30:00+08:00,446.87,254.8,651.4,26.06
2006-01-01 15:30:00+08:00,276.23,271.6,493.55,26.06
2006-01-01 16:30:00+08:00,226.16,176.8,327.0,26.44
2006-01-01 17:30:00+08:00,167.48,101.35,181.55,26.19
2006-01-01 18:30:00+08:00,143.86,37.15,74.6,26.08
2006-01-01 19:30:00+08:00,0.0,0.3,0.3,25.35
2006-01-01 20:30:00+08:00,-0.0,0.0,0.0,25.69
2006-01-01 21:30:00+08:00,-0.0,0.0,0.0,25.8
2006-01-01 22:30:00+08:00,-0.0,0.0,0.0,25.71
2006-01-01 23:30:00+08:00,-0.0,0.0,0.0,25.42
2006-01-02 00:30:00+08:00,-0.0,0.0,0.0,25.25
2006-01-02 01:30:00+08:00,-0.0,0.0,0.0,25.13
2006-01-02 02:30:00+08:00,-0.0,0.0,0.0,24.97
2006-01-02 03:30:00+08:00,-0.0,0.0,0.0,24.84
2006-01-02 04:30:00+08:00,-0.0,0.0,0.0,24.79
2006-01-02 05:30:00+08:00,-0.0,0.0,0.0,24.71
2006-01-02 06:30:00+08:00,-0.0,0.0,0.0,24.85
2006-01-02 07:30:00+08:00,-0.0,0.0,0.0,24.86
2006-01-02 08:30:00+08:00,313.03,105.25,166.5,24.87
2006-01-02 09:30:00+08:00,414.93,159.7,334.4,25.1
2006-01-02 10:30:00+08:00,456.92,171.25,453.2,25.72
2006-01-02 11:30:00+08:00,243.95,263.85,451.8,25.74
2006-01-02 12:30:00+08:00,164.64,265.05,408.4,25.69
2006-01-02 13:30:00+08:00,170.65,245.35,400.8,25.45
2006-01-02 14:30:00+08:00,323.58,264.25,551.75,25.75
2006-01-02 15:30:00+08:00,239.22,236.2,428.75,26.0
2006-01-02 16:30:00+08:00,172.72,199.25,314.25,25.69
2006-01-02 17:30:00+08:00,77.49,102.5,139.75,25.36
2006-01-02 18:30:00+08:00,36.04,36.5,45.95,25.36
2006-01-02 19:30:00+08:00,0.0,0.2,0.2,25.18
2006-01-02 20:30:00+08:00,-0.0,0.0,0.0,25.22
2006-01-02 21:30:00+08:00,-0.0,0.0,0.0,25.26
2006-01-02 22:30:00+08:00,-0.0,0.0,0.0,25.25
2006-01-02 23:30:00+08:00,-0.0,0.0,0.0,25.21
2006-01-03 00:30:00+08:00,-0.0,0.0,0.0,25.16
2006-01-03 01:30:00+08:00,-0.0,0.0,0.0,25.09
2006-01-03 02:30:00+08:00,-0.0,0.0,0.0,25.02
2006-01-03 03:30:00+08:00,-0.0,0.0,0.0,24.89
2006-01-03 04:30:00+08:00,-0.0,0.0,0.0,24.83
2006-01-03 05:30:00+08:00,-0.0,0.0,0.0,24.78
2006-01-03 06:30:00+08:00,-0.0,0.0,0.0,24.93
2006-01-03 07:30:00+08:00,-0.0,0.0,0.0,24.89
2006-01-03 08:30:00+08:00,235.68,125.2,170.95,24.88
2006-01-03 09:30:00+08:00,300.98,212.25,338.6,25.05
2006-01-03 10:30:00+08:00,387.51,284.05,522.85,25.47
2006-01-03 11:30:00+08:00,490.61,295.45,673.25,26.17
2006-01-03 12:30:00+08:00,603.83,264.8,790.6,26.71
2006-01-03 13:30:00+08:00,454.01,315.1,728.95,27.07
2006-01-03 14:30:00+08:00,548.65,242.35,730.4,27.36
2006-01-03 15:30:00+08:00,472.33,173.45,554.3,27.6
2006-01-03 16:30:00+08:00,448.61,122.5,421.95,27.5
2006-01-03 17:30:00+08:00,238.3,95.6,210.6,27.03
2006-01-03 18:30:00+08:00,154.83,32.4,73.3,26.57
2006-01-03 19:30:00+08:00,0.0,0.3,0.3,26.74
2006-01-03 20:30:00+08:00,-0.0,0.0,0.0,26.69
2006-01-03 21:30:00+08:00,-0.0,0.0,0.0,26.72
2006-01-03 22:30:00+08:00,-0.0,0.0,0.0,26.65
2006-01-03 23:30:00+08:00,-0.0,0.0,0.0,26.43
2006-01-04 00:30:00+08:00,-0.0,0.0,0.0,26.19
2006-01-04 01:30:00+08:00,-0.0,0.0,0.0,25.97
2006-01-04 02:30:00+08:00,-0.0,0.0,0.0,25.72
2006-01-04 03:30:00+08:00,-0.0,0.0,0.0,25.47
2006-01-04 04:30:00+08:00,-0.0,0.0,0.0,25.27
2006-01-04 05:30:00+08:00,-0.0,0.0,0.0,25.13
2006-01-04 06:30:00+08:00,-0.0,0.0,0.0,25.28
2006-01-04 07:30:00+08:00,-0.0,0.0,0.0,25.01
2006-01-04 08:30:00+08:00,16.62,72.85,76.05,24.86
2006-01-04 09:30:00+08:00,116.58,148.8,197.6,24.88
2006-01-04 10:30:00+08:00,103.83,230.5,294.4,25.07
2006-01-04 11:30:00+08:00,168.17,313.8,443.25,25.41
2006-01-04 12:30:00+08:00,407.37,286.05,640.85,25.93
2006-01-04 13:30:00+08:00,251.98,315.75,545.6,26.44
2006-01-04 14:30:00+08:00,274.8,203.65,448.4,27.28
2006-01-04 15:30:00+08:00,270.99,230.35,449.25,26.19
2006-01-04 16:30:00+08:00,292.94,175.95,372.0,26.18
2006-01-04 17:30:00+08:00,376.18,84.05,266.3,26.32
2006-01-04 18:30:00+08:00,140.0,43.8,81.05,26.48
2006-01-04 19:30:00+08:00,0.0,0.45,0.45,26.08
2006-01-04 20:30:00+08:00,-0.0,0.0,0.0,25.71
2006-01-04 21:30:00+08:00,-0.0,0.0,0.0,25.83
2006-01-04 22:30:00+08:00,-0.0,0.0,0.0,25.91
2006-01-04 23:30:00+08:00,-0.0,0.0,0.0,25.91
2006-01-05 00:30:00+08:00,-0.0,0.0,0.0,25.85
2006-01-05 01:30:00+08:00,-0.0,0.0,0.0,25.8
2006-01-05 02:30:00+08:00,-0.0,0.0,0.0,25.73
2006-01-05 03:30:00+08:00,-0.0,0.0,0.0,25.64
2006-01-05 04:30:00+08:00,-0.0,0.0,0.0,25.67
2006-01-05 05:30:00+08:00,-0.0,0.0,0.0,25.54
2006-01-05 06:30:00+08:00,-0.0,0.0,0.0,25.54
2006-01-05 07:30:00+08:00,-0.0,0.0,0.0,25.56
2006-01-05 08:30:00+08:00,478.03,97.85,189.2,25.55
2006-01-05 09:30:00+08:00,481.75,167.85,368.95,25.65
2006-01-05 10:30:00+08:00,495.28,235.75,540.2,25.97
2006-01-05 11:30:00+08:00,253.23,334.05,528.9,26.29
2006-01-05 12:30:00+08:00,126.44,376.9,487.05,26.63
2006-01-05 13:30:00+08:00,92.89,343.6,428.4,26.78
2006-01-05 14:30:00+08:00,530.74,243.5,716.8,25.98
2006-01-05 15:30:00+08:00,498.97,159.45,563.25,25.91
2006-01-05 16:30:00+08:00,412.37,138.75,415.45,26.03
2006-01-05 17:30:00+08:00,369.36,101.55,281.2,26.23
2006-01-05 18:30:00+08:00,142.17,34.65,72.75,26.22
2006-01-05 19:30:00+08:00,0.0,0.6,0.6,26.19
2006-01-05 20:30:00+08:00,-0.0,0.0,0.0,26.09
2006-01-05 21:30:00+08:00,-0.0,0.0,0.0,25.94
2006-01-05 22:30:00+08:00,-0.0,0.0,0.0,25.81
2006-01-05 23:30:00+08:00,-0.0,0.0,0.0,25.66
2006-01-06 00:30:00+08:00,-0.0,0.0,0.0,25.51
2006-01-06 01:30:00+08:00,-0.0,0.0,0.0,25.44
2006-01-06 02:30:00+08:00,-0.0,0.0,0.0,25.4
2006-01-06 03:30:00+08:00,-0.0,0.0,0.0,25.33
2006-01-06 04:30:00+08:00,-0.0,0.0,0.0,25.27
2006-01-06 05:30:00+08:00,-0.0,0.0,0.0,25.19
2006-01-06 06:30:00+08:00,-0.0,0.0,0.0,25.22
2006-01-06 07:30:00+08:00,-0.0,0.0,0.0,24.94
2006-01-06 08:30:00+08:00,70.93,100.55,114.0,25.03
2006-01-06 09:30:00+08:00,221.83,176.15,268.5,25.48
2006-01-06 10:30:00+08:00,211.56,223.25,353.15,25.66
2006-01-06 11:30:00+08:00,173.29,295.45,428.75,25.32
2006-01-06 12:30:00+08:00,159.39,362.3,501.2,25.41
2006-01-06 13:30:00+08:00,69.07,260.5,323.6,25.5
2006-01-06 14:30:00+08:00,134.67,310.4,430.65,25.13
2006-01-06 15:30:00+08:00,211.52,244.3,415.8,25.08
2006-01-06 16:30:00+08:00,195.76,167.05,298.75,25.35
2006-01-06 17:30:00+08:00,92.67,100.5,145.75,25.35
2006-01-06 18:30:00+08:00,56.5,29.95,45.2,25.22
2006-01-06 19:30:00+08:00,0.0,0.5,0.5,25.02
2006-01-06 20:30:00+08:00,-0.0,0.0,0.0,25.2
2006-01-06 21:30:00+08:00,-0.0,0.0,0.0,25.14
2006-01-06 22:30:00+08:00,-0.0,0.0,0.0,25.15
2006-01-06 23:30:00+08:00,-0.0,0.0,0.0,25.22
2006-01-07 00:30:00+08:00,-0.0,0.0,0.0,25.24
2006-01-07 01:30:00+08:00,-0.0,0.0,0.0,25.14
2006-01-07 02:30:00+08:00,-0.0,0.0,0.0,25.14
2006-01-07 03:30:00+08:00,-0.0,0.0,0.0,25.03
2006-01-07 04:30:00+08:00,-0.0,0.0,0.0,24.88
2006-01-07 05:30:00+08:00,-0.0,0.0,0.0,24.8
2006-01-07 06:30:00+08:00,-0.0,0.0,0.0,25.07
2006-01-07 07:30:00+08:00,-0.0,0.0,0.0,25.19
2006-01-07 08:30:00+08:00,0.53,70.35,70.45,25.03
2006-01-07 09:30:00+08:00,69.24,148.25,177.0,25.29
2006-01-07 10:30:00+08:00,157.17,211.0,307.4,25.56
2006-01-07 11:30:00+08:00,283.26,303.3,521.15,25.84
2006-01-07 12:30:00+08:00,184.4,273.25,434.0,26.12
2006-01-07 13:30:00+08:00,247.53,235.2,461.55,26.04
2006-01-07 14:30:00+08:00,226.97,252.15,455.1,25.66
2006-01-07 15:30:00+08:00,339.33,183.9,459.55,25.7
2006-01-07 16:30:00+08:00,231.78,151.6,307.95,25.85
2006-01-07 17:30:00+08:00,252.14,100.3,223.9,26.04
2006-01-07 18:30:00+08:00,144.95,30.9,70.3,26.44
2006-01-07 19:30:00+08:00,0.0,0.5,0.5,26.09
2006-01-07 20:30:00+08:00,-0.0,0.0,0.0,25.74
2006-01-07 21:30:00+08:00,-0.0,0.0,0.0,25.37
2006-01-07 22:30:00+08:00,-0.0,0.0,0.0,25.19
2006-01-07 23:30:00+08:00,-0.0,0.0,0.0,24.94
2006-01-08 00:30:00+08:00,-0.0,0.0,0.0,25.18
2006-01-08 01:30:00+08:00,-0.0,0.0,0.0,24.91
2006-01-08 02:30:00+08:00,-0.0,0.0,0.0,24.67
2006-01-08 03:30:00+08:00,-0.0,0.0,0.0,24.86
2006-01-08 04:30:00+08:00,-0.0,0.0,0.0,24.88
2006-01-08 05:30:00+08:00,-0.0,0.0,0.0,24.88
2006-01-08 06:30:00+08:00,-0.0,0.0,0.0,25.09
2006-01-08 07:30:00+08:00,-0.0,0.0,0.0,25.21
2006-01-08 08:30:00+08:00,73.6,89.05,102.8,25.42
2006-01-08 09:30:00+08:00,66.87,164.75,192.45,25.1
2006-01-08 10:30:00+08:00,22.28,179.75,193.4,25.21
2006-01-08 11:30:00+08:00,38.36,172.2,201.7,25.21
2006-01-08 12:30:00+08:00,49.42,258.4,301.5,25.09
2006-01-08 13:30:00+08:00,14.48,241.8,255.05,25.29
2006-01-08 14:30:00+08:00,6.87,218.3,224.45,25.25
